pregunta.id,pregunta.texto,pregunta.respuesta,pregunta.descripcion,pregunta.tipo,pregunta.ensayo,pregunta.tiempo,pregunta.intentos,pregunta.puntos,pregunta.diagnostico,pregunta.is_active,pregunta.created_on,pregunta.created_by,pregunta.modified_on,pregunta.modified_by
27432101387974696134752613073,¿En qué día estamos?,,"Pregunta de Orientación (Tiempo, Espacio y Persona).",0,0,0.0,1,1,27432087091748039009850110663,True,2017-02-14 13:33:16,27427756755470223859474236108,2017-02-15 22:48:12,27427756312748366090444997323
27432101387974696134752613074,¿En qué mes estamos?,,"Pregunta de Orientación (Tiempo, Espacio y Persona)",0,0,0.0,1,1,27432087091748039009850110663,True,2017-02-14 13:33:16,27427756755470223859474236108,2017-02-15 22:48:19,27427756312748366090444997323
27432101387974696134752613075,¿En qué año estamos?,,"Pregunta de Orientación (Tiempo, Espacio y Persona)",0,0,0.0,1,1,27432087091748039009850110663,True,2017-02-14 13:33:16,27427756755470223859474236108,2017-02-15 22:48:05,27427756312748366090444997323
27434292215534610240720493573,1-2,1-2,<NULL>,1,0,3.0,1,1,27432087091748039009850110663,True,2017-02-15 22:32:41,27427756312748366090444997323,2017-02-15 22:32:41,27427756312748366090444997323
27434292879617396894264351750,3-5-8,3-5-8,<NULL>,1,0,3.0,1,1,27432087091748039009850110663,True,2017-02-15 22:33:17,27427756312748366090444997323,2017-02-15 22:33:17,27427756312748366090444997323
27434293709720880211194174471,2-5,2-5,<NULL>,1,1,3.0,1,1,27432087091748039009850110663,True,2017-02-15 22:34:02,27427756312748366090444997323,2017-02-15 22:34:02,27427756312748366090444997323
27434294373803666864738032648,7-2-9,7-2-9,<NULL>,1,1,3.0,1,1,27432087091748039009850110663,True,2017-02-15 22:34:38,27427756312748366090444997323,2017-02-15 22:34:38,27427756312748366090444997323
27434295333034358697634716681,2-4,4-2,<NULL>,2,0,3.0,1,1,27432087091748039009850110663,True,2017-02-15 22:35:30,27427756312748366090444997323,2017-02-15 22:35:30,27427756312748366090444997323
27434296993241325331494362122,2b5997-679f25-d34108-cd821c-d34108-d34108-2b5997-679f25-679f25,679f25,<NULL>,4,0,5.0,1,1,27432087091748039009850110663,True,2017-02-15 22:37:00,27427756312748366090444997323,2017-02-15 22:37:00,27427756312748366090444997323
27434298118492713827777010699,5-6-7-8,5-6-7-8,<NULL>,3,0,4.0,1,1,27432087091748039009850110663,True,2017-02-15 22:38:01,27427756312748366090444997323,2017-02-15 22:38:01,27427756312748366090444997323
27434311935104025036231171084,1-2-5-4-5-6-6-7-7-8,#-2-5-#-#-#-#-#-#-#,"Se irán mostrando una serie de números cuando veas el número 2 e inmediatamente después el 5, debes anotar ocurrencias",5,0,1.0,1,1,27432087091748039009850110663,True,2017-02-15 22:50:29,27427756312748366090444997323,2017-02-15 22:50:29,27427756312748366090444997323
27434314628328659797825707021,1-4-7-10-13-16-19-22-25-28-31-34-37-40,1-4-7-10-13-16-19-22-25-28-31-34-37-40,Contar de 3 en 3 empezando por el 1 y terminado en 40,6,0,40.0,1,1,27432087091748039009850110663,True,2017-02-15 22:52:56,27427756312748366090444997323,2017-02-15 22:52:56,27427756312748366090444997323
